 ,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
50,c,,,,,23,0,92,2,832.761094,833.7607464,833.7607464,833.7607464,833.7607464,833.7607464,834.760901,834.760901,c,1,2.1219866,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,23,1,93,1,836.910431,837.9108553,837.9108553,837.9108553,837.9108553,837.9108553,838.9109062,838.9109062,v,1,0.9452355,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,23,2,94,3,839.877563,840.8772003,840.8772003,840.8772003,840.8772003,840.8772003,841.8775792,841.8775792,z,1,0.8293877,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,23,3,95,3,842.7274301,843.7273363,843.7273363,843.7273363,843.7273363,843.7273363,844.727229,844.727229,z,1,0.4955541,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,24,0,96,2,845.2439566,846.2440152,846.2440152,846.2440152,846.2440152,846.2440152,847.2437474,847.2437474,c,1,1.5539078,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,24,1,97,1,848.8271633,849.8270256,849.8270256,849.8270256,849.8270256,849.8270256,850.8265316,850.8265316,v,1,0.7161784,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,24,2,98,3,851.5600164,852.5598053,852.5598053,852.5598053,852.5598053,852.5598053,853.5600839,853.5600839,z,1,0.8734592,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,24,3,99,2,854.4598306,855.4598435,855.4598435,855.4598435,855.4598435,855.4598435,856.4594039,856.4594039,c,1,1.2171897,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,25,0,100,1,857.6929958,858.6929367,858.6929367,858.6929367,858.6929367,858.6929367,859.6931661,859.6931661,v,1,0.7109947,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,25,1,101,1,860.4265761,861.4266441,861.4266441,861.4266441,861.4266441,861.4266441,862.4265711,862.4265711,v,1,0.5991941,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
